over,score,batsmen,bowler,comment,score_converted
19.6,W, Mohammad Nabi,Harshal Patel ,"DRAMATIC FINISH full length ball, pitching on off stump, Mohammad Nabi drives straight back. The ball ricochets off the stumps at the bowler's end, and with Varma already charging down the pitch, Nabi is caught off-guard. Patel, with sharp reflexes, retrieves the ball and dismantles the stumps  WICKET Mohammad Nabi run out Harshal Patel (Mumbai Indians 192 Runs for 7 wickets)",
19.5,W, Romario Shepherd,Harshal Patel ,"SHEPHERD FALLS SHORT OF THE MARK THIS TIME good length ball, pitching on off stump, Romario Shepherd cleared his front leg intending to launch the ball over the ropes, Alas, his swing connected poorly, catching the inside of the bat. The ball, rather than soaring, wobbled awkwardly through the air, reminiscent of a disoriented bird, and meandered towards deep backward square leg. There, Shashank Singh, alert and ready, effortlessly grasped the misfire without a twitch.  WICKET Romario Shepherd c Shashank Singh b Harshal Patel (Mumbai Indians 192 Runs for 6 wickets)",
19.4,1, Tilak Varma,Harshal Patel ,"Good length ball, pitching wide outside off stump, Tilak Varma uncomfortably plays an aggressive lofted on drive on the front foot for a single",
19.3,1, Romario Shepherd,Harshal Patel ,"Full length ball, pitching on off stump, Romario Shepherd plays an aggressive on drive on the front foot for a single",
19.2,W, Tim David,Harshal Patel ,"DAVID DEPARTS AFTER A FLURRY OF POWER  short length ball, pitching outside off stump, Tim David plays an aggressive pull shot on the front foot, Pure power, but not enough loft! The ball screams like a banshee towards long-off, but its trajectory remains stubbornly low. Sam Curran, stationed there, doesn't need to move a muscle. He extends his hands out calmly, and the ball nestles comfortably in his grasp.  WICKET Tim David c Sam Curran b Harshal Patel (Mumbai Indians 190 Runs for 5 wickets)t",
19.1,4, Tim David,Harshal Patel ,"Full length ball, pitching outside off stump, Tim David uncomfortably plays an aggressive lofted on drive on the front foot, 4 leg bye(s) gets added to the extras, Appeal from the fielding side",
19.1,1, Tim David,Harshal Patel ,"Short length ball, pitching wide outside off stump, Tim David plays an upper cut, 1 wide(s) gets added to the extras",
18.6,1, Tim David,Sam Curran ,"Good length ball, pitching outside leg stump, Tim David plays an aggressive front foot flick, 1 bye(s) gets added to the extras and is beaten",
18.5,6, Tim David,Sam Curran ,"MONSTROUS SIX!  good length ball, pitching outside off stump, Tim David positions himself perfectly, swings, and connects superbly. The ball flies off the middle and into the stands for a maximum! ",
18.4,4, Tim David,Sam Curran ,"DAVID IS NOT HOLDING BACK!   short length ball, pitching on leg stump, Tim David shuffles outside off. Unfazed, David pulls off his gaze momentarily and hooks it over backward square leg. With no fielders deep, the ball finds the boundary again.",
18.4,1, Tim David,Sam Curran ,"Good length ball, pitching wide outside off stump, Tim David offers no shot, 1 wide(s) gets added to the extras",
18.3,4, Tim David,Sam Curran ,"SLASHED AWAY   short of good length ball, pitching outside off stump, Tim David goes on the backfoot. He slashes it powerfully over cover point, sending the ball racing for a boundary through the off-side.",
18.3,1, Tim David,Sam Curran ,"Good length ball, pitching outside off stump, Tim David plays an aggressive cover drive on the back foot, 1 wide(s) gets added to the extras and is beaten",
18.2,0, Tim David,Sam Curran ,"Good length ball, pitching on off stump, Tim David plays an aggressive cover drive on the front foot, straight to the fielder",
18.1,1, Tilak Varma,Sam Curran ,"Full length ball, pitching on middle stump, Tilak Varma uncomfortably plays an aggressive lofted on drive on the front foot for a single",
17.6,W, Hardik Pandya,Harshal Patel ,"PANDYA'S CAMEO ENDS ,  HAVE THEIR BREAKTHROUGH!  short of good length ball, pitching outside off stump, Hardik Pandya attempts a powerful heave but fails to connect cleanly. He loses control of the bottom hand, and the miscued shot balloons towards deep mid-wicket, where a well-positioned Harpreet Brar pouches a comfortable catch. WICKET Hardik Pandya c Harpreet Brar b Harshal Patel (Mumbai Indians 167 Runs for 4 wickets)",
17.5,2, Hardik Pandya,Harshal Patel ,"Short length ball, pitching outside off stump, Hardik Pandya plays an aggressive cover drive on the back foot for 2 runs",
17.4,1, Tilak Varma,Harshal Patel ,"Good length ball, pitching outside off stump, Tilak Varma uncomfortably plays an aggressive lofted cover drive on the front foot for a single",
17.3,6, Tilak Varma,Harshal Patel ,"SMOKED INTO THE STANDS  short of good length ball, pitching outside off stump, Tilak Varma absolutely hammers the short, wide delivery high and handsome into the mid-wicket stands for a massive SIX! This wasn't just any six - it marked a special milestone: Varma's 50th six in the IPL!",
17.2,1, Hardik Pandya,Harshal Patel ,"Full toss ball, on off stump, Hardik Pandya uncomfortably plays an aggressive lofted on drive on the front foot for a single",
