,over,score,batsmen,bowler,comment,score_converted
0,19.6,W,Mohammad Nabi,Harshal Patel ,"DRAMATIC FINISH full length ball, pitching on off stump, Mohammad Nabi drives straight back. The ball ricochets off the stumps at the bowler's end, and with Varma already charging down the pitch, Nabi is caught off-guard. Patel, with sharp reflexes, retrieves the ball and dismantles the stumps  WICKET Mohammad Nabi run out Harshal Patel (Mumbai Indians 192 Runs for 7 wickets)",8
1,19.5,W,Romario Shepherd,Harshal Patel ,"SHEPHERD FALLS SHORT OF THE MARK THIS TIME good length ball, pitching on off stump, Romario Shepherd cleared his front leg intending to launch the ball over the ropes, Alas, his swing connected poorly, catching the inside of the bat. The ball, rather than soaring, wobbled awkwardly through the air, reminiscent of a disoriented bird, and meandered towards deep backward square leg. There, Shashank Singh, alert and ready, effortlessly grasped the misfire without a twitch.  WICKET Romario Shepherd c Shashank Singh b Harshal Patel (Mumbai Indians 192 Runs for 6 wickets)",8
2,19.4,1,Tilak Varma,Harshal Patel ,"Good length ball, pitching wide outside off stump, Tilak Varma uncomfortably plays an aggressive lofted on drive on the front foot for a single",1
3,19.3,1,Romario Shepherd,Harshal Patel ,"Full length ball, pitching on off stump, Romario Shepherd plays an aggressive on drive on the front foot for a single",1
4,19.2,W,Tim David,Harshal Patel ,"DAVID DEPARTS AFTER A FLURRY OF POWER  short length ball, pitching outside off stump, Tim David plays an aggressive pull shot on the front foot, Pure power, but not enough loft! The ball screams like a banshee towards long-off, but its trajectory remains stubbornly low. Sam Curran, stationed there, doesn't need to move a muscle. He extends his hands out calmly, and the ball nestles comfortably in his grasp.  WICKET Tim David c Sam Curran b Harshal Patel (Mumbai Indians 190 Runs for 5 wickets)t",8
5,19.1,4,Tim David,Harshal Patel ,"Full length ball, pitching outside off stump, Tim David uncomfortably plays an aggressive lofted on drive on the front foot, 4 leg bye(s) gets added to the extras, Appeal from the fielding side",4
6,19.1,1,Tim David,Harshal Patel ,"Short length ball, pitching wide outside off stump, Tim David plays an upper cut, 1 wide(s) gets added to the extras",1
7,18.6,1,Tim David,Sam Curran ,"Good length ball, pitching outside leg stump, Tim David plays an aggressive front foot flick, 1 bye(s) gets added to the extras and is beaten",1
8,18.5,6,Tim David,Sam Curran ,"MONSTROUS SIX!  good length ball, pitching outside off stump, Tim David positions himself perfectly, swings, and connects superbly. The ball flies off the middle and into the stands for a maximum! ",6
9,18.4,4,Tim David,Sam Curran ,"DAVID IS NOT HOLDING BACK!   short length ball, pitching on leg stump, Tim David shuffles outside off. Unfazed, David pulls off his gaze momentarily and hooks it over backward square leg. With no fielders deep, the ball finds the boundary again.",4
