,over,score,batsmen,bowler,comment
0,19.6,2, Shahbaz Ahmed, Obed McCoy ,"Short of good length ball, pitching outside off stump, Shahbaz Ahmed strikes this ball towards covers and finishes the second!"
1,19.5,0, Shahbaz Ahmed,Obed McCoy ,"Full toss ball, on off stump, Shahbaz Ahmed plays an aggressive on drive on the front foot, straight to the fielder"
2,19.4,0, Shahbaz Ahmed,Obed McCoy ,"Good length ball, pitching outside off stump, Shahbaz Ahmed plays an aggressive lofted off drive on the front foot and is beaten"
3,19.3,1, Josh Hazlewood,Obed McCoy ,"Full length ball, pitching on off stump, Josh Hazlewood nudges the ball and takes the single to give the strike to Ahmed! Can he finish on a high in these three final deliveries?"
4,19.2,0, Josh Hazlewood,Obed McCoy ,"Full length ball, pitching outside off stump, Josh Hazlewood plays a defensive forward push and is beaten"
5,18.6,0, Shahbaz Ahmed,Prasidh Krishna ,"Full length ball, pitching outside leg stump, Shahbaz Ahmed plays an aggressive off drive on the front foot and is beaten"
6,18.5,6, Shahbaz Ahmed,Prasidh Krishna ,"Good length ball, pitching outside off stump, Shahbaz Ahmed picks the slower one and deposits the ball into the stands of long-on!"
7,18.4,0, Shahbaz Ahmed,Prasidh Krishna ,"Good length ball, pitching on off stump, Shahbaz Ahmed plays a defensive forward push, no run"
8,18.4,1, Shahbaz Ahmed,Prasidh Krishna ,"Short length ball, pitching outside off stump, Shahbaz Ahmed offers no shot, 1 wide(s) gets added to the extras"
9,18.3,1, Harshal Patel,Prasidh Krishna ,"Full length ball, pitching outside off stump, Harshal Patel plays a defensive forward push for a single"
10,17.6,0, Shahbaz Ahmed,Obed McCoy ,"Short of good length ball, pitching outside off stump, Shahbaz Ahmed plays an aggressive pull shot on the front foot and is beaten"
11,17.5,4, Shahbaz Ahmed, Obed McCoy ,"Short of good length ball, pitching outside off stump, Shahbaz Ahmed spanks the ball up and over the covers fielder!"
12,17.5,1, Shahbaz Ahmed,Obed McCoy ,"Full length ball, pitching wide outside off stump, Shahbaz Ahmed offers no shot, 1 wide(s) gets added to the extras"
13,17.3,0, Mahipal Lomror,Obed McCoy ,"Good length ball, pitching outside off stump, Mahipal Lomror plays the scoop and is beaten"
14,17.2,1, Dinesh Karthik,Obed McCoy ,"Full toss ball, outside leg stump, Dinesh Karthik plays an aggressive front foot flick for a single"
15,17.1,1, Mahipal Lomror,Obed McCoy ,"Short of good length ball, pitching outside off stump, Mahipal Lomror plays an aggressive cut shot for a single"
16,16.6,2, Dinesh Karthik,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Dinesh Karthik plays an aggressive cut shot for 2 runs"
17,16.5,1, Mahipal Lomror,Yuzvendra Chahal ,"Short of good length ball, pitching outside off stump, Mahipal Lomror plays an aggressive cover drive on the back foot for a single"
18,16.4,1, Dinesh Karthik,Yuzvendra Chahal ,"Full length ball, pitching on leg stump, Dinesh Karthik plays an aggressive on drive on the front foot for a single"
19,16.3,1, Mahipal Lomror,Yuzvendra Chahal ,"Full length ball, pitching on off stump, Mahipal Lomror plays an aggressive on drive on the front foot for a single"
20,16.2,1, Dinesh Karthik,Yuzvendra Chahal ,"Good length ball, pitching on leg stump, Dinesh Karthik plays a sweep shot for a single"
21,16.1,1, Mahipal Lomror,Yuzvendra Chahal ,"Full toss ball, on off stump, Mahipal Lomror plays a sweep shot for a single"
22,15.6,1, Mahipal Lomror,Ravichandran Ashwin ,"Good length ball, pitching on middle stump, Mahipal Lomror plays a forward defensive shot for a single"
23,15.5,1, Dinesh Karthik,Ravichandran Ashwin ,"Good length ball, pitching outside off stump, Dinesh Karthik plays a defensive forward push for a single"
24,15.4,0, Dinesh Karthik,Ravichandran Ashwin ,"Good length ball, pitching outside off stump, Dinesh Karthik plays an aggressive cut shot, straight to the fielder"
25,15.2,6, Rajat Patidar, Ravichandran Ashwin ,"Full length ball, pitching on leg stump, Rajat Patidar clears his front leg and launches this ball in the stands of deep mid-wicket!"
26,15.1,1, Mahipal Lomror,Ravichandran Ashwin ,"Short of good length ball, pitching outside off stump, Mahipal Lomror plays a defensive back foot push for a single"
27,14.5,1, Mahipal Lomror,Yuzvendra Chahal ,"Full length ball, pitching outside leg stump, Mahipal Lomror plays a sweep shot for a single"
28,14.4,1, Rajat Patidar,Yuzvendra Chahal ,"Full length ball, pitching outside off stump, Rajat Patidar plays an aggressive on drive on the front foot for a single"
29,14.4,1, Rajat Patidar,Yuzvendra Chahal ,"Yorker ball, pitching outside leg stump, Rajat Patidar offers no shot, 1 wide(s) gets added to the extras"
30,14.4,1, Rajat Patidar,Yuzvendra Chahal ,"Good length ball, pitching outside off stump, Rajat Patidar offers no shot, 1 wide(s) gets added to the extras"
31,14.3,1, Mahipal Lomror,Yuzvendra Chahal ,"Good length ball, pitching on off stump, Mahipal Lomror plays an aggressive on drive off the back foot for a single"
